epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,978.802,1.46155,1.90409,1.77055,0.64194,0.5929,0.60979,0.29422,1.73506,1.4819,2.03697,0.00999206,0.00333069,0.00999206,0.00333069,0.00999206,0.00333069,0.00999206,0.00333069
2,1872.35,1.50253,1.86885,1.81099,0.54607,0.48885,0.5033,0.2387,1.825,1.90839,2.14214,0.0198931,0.00663103,0.0198931,0.00663103,0.0198931,0.00663103,0.0198931,0.00663103
3,2733.75,1.60266,2.17902,1.92157,0.46262,0.36535,0.37249,0.17331,1.93578,2.2884,2.3614,0.0296951,0.00989838,0.0296951,0.00989838,0.0296951,0.00989838,0.0296951,0.00989838
4,3583.99,1.57978,2.15968,1.91074,0.56496,0.49418,0.51883,0.24839,1.79531,1.86053,2.14817,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,4433.56,1.48146,1.92436,1.82093,0.67878,0.57782,0.65119,0.33309,1.66458,1.50747,2.0311,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,5283.8,1.42078,1.762,1.76191,0.73222,0.63778,0.70647,0.38654,1.54861,1.33446,1.89875,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,6133.33,1.37301,1.63095,1.71205,0.73882,0.69266,0.7518,0.43371,1.45907,1.26428,1.79132,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,6982.42,1.34316,1.55611,1.68221,0.81287,0.70589,0.80292,0.47091,1.42931,1.12436,1.75388,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,7830.51,1.29402,1.46041,1.64353,0.80902,0.72452,0.81575,0.505,1.32593,1.07713,1.67551,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,8678.81,1.27379,1.39904,1.6264,0.83755,0.75779,0.84183,0.52626,1.31169,0.99722,1.62095,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,9527.25,1.25201,1.3458,1.60182,0.8437,0.7995,0.86238,0.5457,1.28306,0.93117,1.61011,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,10376.4,1.23287,1.29954,1.58609,0.86794,0.7953,0.87356,0.55333,1.26685,0.90025,1.60708,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,11225.9,1.21595,1.246,1.56665,0.86171,0.8009,0.88358,0.56732,1.23896,0.87936,1.55547,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,12074.9,1.20363,1.21466,1.5561,0.86598,0.80849,0.88648,0.58912,1.19556,0.83182,1.52489,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,12923.6,1.18801,1.17584,1.53823,0.88337,0.85254,0.91246,0.6109,1.18579,0.75602,1.51331,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,13771.5,1.1706,1.13844,1.52366,0.88868,0.85731,0.91824,0.62228,1.15295,0.74641,1.48758,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,14621.5,1.15369,1.11266,1.50877,0.89202,0.85871,0.91842,0.62427,1.13761,0.72115,1.46306,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,15469.9,1.14121,1.08379,1.49708,0.89492,0.8698,0.92172,0.64147,1.10477,0.69895,1.42363,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,16318.6,1.13469,1.06199,1.48971,0.90983,0.8756,0.93008,0.65895,1.07382,0.66338,1.40244,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,17167.9,1.11597,1.03293,1.47463,0.91329,0.87901,0.93448,0.65657,1.07019,0.65612,1.38948,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,18017.6,1.10822,1.00992,1.46556,0.92379,0.88469,0.942,0.67018,1.05581,0.6244,1.38641,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,18867.4,1.10384,0.99854,1.45898,0.92757,0.89107,0.94649,0.67793,1.04349,0.61811,1.36544,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,19717.5,1.08943,0.97129,1.45042,0.93434,0.90437,0.95039,0.69115,1.01202,0.5856,1.34251,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,20566.8,1.07771,0.95654,1.43731,0.92289,0.90886,0.95538,0.69613,1.01269,0.57926,1.33875,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,21416.8,1.07166,0.94375,1.43068,0.93256,0.89737,0.95506,0.69865,1.00418,0.57501,1.32445,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,22265.9,1.06156,0.92849,1.42292,0.94893,0.91104,0.96062,0.70757,0.98906,0.54609,1.31416,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,23114.6,1.05213,0.90787,1.41169,0.93947,0.91405,0.95785,0.71326,0.97442,0.53051,1.29636,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,23964.2,1.04111,0.89249,1.39942,0.95377,0.91693,0.96049,0.71388,0.96988,0.52361,1.29033,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,24813.3,1.038,0.88702,1.40346,0.94559,0.92459,0.9633,0.71864,0.95413,0.51075,1.27959,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,25662.5,1.03426,0.87674,1.39755,0.95013,0.92742,0.96788,0.72454,0.94479,0.49672,1.26826,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,26512.5,1.02583,0.85881,1.38838,0.94813,0.9231,0.96538,0.72917,0.9372,0.49376,1.26378,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,27362,1.01726,0.84822,1.37708,0.95055,0.92782,0.96656,0.73178,0.93417,0.49075,1.25349,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,28211.1,1.00891,0.83703,1.37094,0.95379,0.936,0.96814,0.72879,0.94031,0.48345,1.25686,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,29059.9,1.00266,0.82661,1.36681,0.95085,0.93509,0.97015,0.73661,0.92937,0.47703,1.24829,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,29909,0.99135,0.80852,1.36008,0.94839,0.94358,0.97099,0.73584,0.93327,0.46754,1.2527,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,30757.7,0.98814,0.8022,1.35418,0.95419,0.93891,0.96865,0.74272,0.91036,0.46609,1.23725,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,31607.1,0.98759,0.79834,1.3491,0.95218,0.94175,0.97042,0.74574,0.90488,0.46089,1.23013,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,32457,0.97985,0.79044,1.34752,0.9543,0.94389,0.96996,0.74062,0.92091,0.46138,1.23802,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,33306.9,0.97733,0.78309,1.3422,0.96361,0.94681,0.97113,0.74373,0.91439,0.45206,1.23427,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,34155.8,0.96942,0.76381,1.33365,0.96168,0.94597,0.97206,0.73506,0.94264,0.45764,1.25335,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,35005.7,0.9613,0.7669,1.33383,0.96218,0.94384,0.97265,0.74375,0.92106,0.44778,1.23783,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,35854.6,0.95533,0.76748,1.32883,0.96326,0.94479,0.97255,0.74861,0.90253,0.43936,1.22635,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,36703.6,0.9497,0.75146,1.32084,0.96733,0.94605,0.97476,0.75196,0.89503,0.43322,1.22078,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
